PatientIDs,CTmax,CTmin,PTmax,PTmin,CTSizeX,CTSizeY,CTSizeZ,PTSizeX,PTSizeY,PTSizeZ,GTSizeX,GTSizeY,GTSizeZ,CTSpacingX,CTSpacingY,CTSpacingZ,PTSpacingX,PTSpacingY,PTSpacingZ,GTSpacingX,GTSpacingY,GTSpacingZ
CHUM-002,868.96533,-3024.0,16.68071,0.0,128,128,91,128,128,91,128,128,91,3.515625,3.515625,3.2702222,3.515625,3.515625,3.2702222,3.515625,3.515625,3.2702222
CHUM-006,794.1692,-1000.0,6.081012,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-007,1030.0626,-1024.0,11.08188,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-008,769.5343,-1024.0,13.387543,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-010,859.4343,-1024.0,1.1985267,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-011,882.6283,-1024.0,15.036657,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-012,1373.7194,-1024.0,13.465934,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-014,1034.8257,-1024.0,14.060075,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-015,977.58075,-1024.0,12.115977,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-016,863.60254,-1024.0,13.234973,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-018,798.95337,-3024.0,9.997686,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-019,1223.256,-1024.0,12.355359,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-021,1569.7003,-3024.0,14.86556,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-022,695.7977,-1024.0,8.73209,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-023,730.9237,-1024.0,11.878808,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-024,1057.8182,-1024.0,10.911311,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-027,721.7587,-1024.0,14.451144,0.0,144,144,66,144,144,66,144,144,66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-029,804.6907,-1024.0,12.040879,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0000005,4.0,4.0,4.0000005,4.0,4.0,4.0000005
CHUM-030,891.41925,-1024.0,14.845296,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-032,1104.8553,-1000.0,23.422699,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-033,2113.1829,-1000.0,19.351347,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-034,861.12604,-1024.0,15.4964,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-035,1176.0837,-1024.0,32.96539,0.0,128,128,263,128,128,263,128,128,263,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237
CHUM-036,891.2705,-1024.0,16.604387,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-037,972.51117,-1024.0,8.911596,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-038,1092.2852,-1024.0,11.490048,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-040,1055.1759,-1024.0,49.418045,0.0,128,128,263,128,128,263,128,128,263,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237
CHUM-043,1050.1686,-1024.0,6.010728,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-044,990.7264,-1024.0,17.603409,0.0,144,144,66,144,144,66,144,144,66,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-045,1042.1306,-1024.0,10.010075,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-046,666.90283,-1024.0,8.575506,0.0,144,144,84,144,144,84,144,144,84,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-047,778.57324,-1024.0,12.268817,0.0,144,144,66,144,144,66,144,144,66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-048,664.90356,-1024.0,11.735716,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-049,947.6383,-1024.0,9.651911,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-050,1064.7659,-1024.0,16.034628,0.0,144,144,70,144,144,70,144,144,70,4.0,4.0,4.057971,4.0,4.0,4.057971,4.0,4.0,4.057971
CHUM-051,1463.13,-1000.0,31.244259,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-054,871.57166,-1024.0,20.114351,0.0,144,144,129,144,144,129,144,144,129,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-055,1145.0962,-1024.0,15.202663,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUM-056,1238.1117,-1024.0,10.201904,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-057,1067.729,-1024.0,10.955916,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-058,820.98236,-1024.0,14.338734,0.0,144,144,66,144,144,66,144,144,66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-061,1016.11914,-1000.0,14.105018,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-062,947.73706,-1024.0,14.432579,0.0,144,144,87,144,144,87,144,144,87,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUM-063,1254.4227,-3024.0,16.11988,0.0,128,128,119,128,128,119,128,128,119,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661,3.515625,3.515625,3.269661
CHUM-065,831.94684,-3024.0,92.90581,0.0,128,128,263,128,128,263,128,128,263,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237,5.46875,5.46875,3.2699237
CHUP-000,1234.327,-1024.0,25.007551,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0270023,4.07283,4.07283,2.0270023,4.07283,4.07283,2.0270023
CHUP-001,1301.0784,-1024.0,57.09178,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-002,1428.4305,-1024.0,175.67287,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-003,849.58826,-1024.0,14.470888,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-004,1360.1666,-1024.0,129.76375,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-005,1230.6705,-1024.0,83.34156,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-006,1859.0616,-1024.0,61.656155,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-007,2571.5403,-1024.0,122.31868,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-008,875.2413,-1024.0,50.612877,0.0,200,200,543,200,200,543,200,200,543,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-010,1283.9531,-1024.0,13.345893,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0270061,4.07283,4.07283,2.0270061,4.07283,4.07283,2.0270061
CHUP-011,1046.032,-1024.0,74.08924,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-012,762.30023,-1024.0,51.332253,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0270061,4.07283,4.07283,2.0270061,4.07283,4.07283,2.0270061
CHUP-016,1238.0813,-1024.0,78.12784,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-017,1229.7488,-1024.0,43.039852,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0269897,4.07283,4.07283,2.0269897,4.07283,4.07283,2.0269897
CHUP-018,2498.9397,-1024.0,28.047796,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095
CHUP-019,730.0936,-1024.0,51.989285,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-020,1499.147,-1024.0,167.7238,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-022,1201.1884,-1024.0,83.017715,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-023,813.09644,-1024.0,44.71493,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-024,1094.542,-1024.0,163.1736,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.026996,4.07283,4.07283,2.026996,4.07283,4.07283,2.026996
CHUP-025,3071.0,-1024.0,53.54902,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0270083,4.07283,4.07283,2.0270083,4.07283,4.07283,2.0270083
CHUP-027,959.0084,-1024.0,43.537106,0.0,200,200,543,200,200,543,200,200,543,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-028,938.9027,-1024.0,41.359573,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0269904,4.07283,4.07283,2.0269904,4.07283,4.07283,2.0269904
CHUP-029,1494.9451,-1024.0,106.28914,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-030,1353.7471,-1024.0,53.14185,0.0,200,200,543,200,200,543,200,200,543,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-032,1843.5143,-1024.0,27.050856,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0269928,4.07283,4.07283,2.0269928,4.07283,4.07283,2.0269928
CHUP-033,2146.3037,-1024.0,95.51495,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-034,898.28845,-1024.0,45.028217,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0269928,4.07283,4.07283,2.0269928,4.07283,4.07283,2.0269928
CHUP-035,1414.1588,-1024.0,70.447174,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-036,1228.1049,-1024.0,22.895699,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-039,1052.9423,-1024.0,139.4402,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-040,1269.3783,-1024.0,37.02627,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-041,982.45166,-1024.0,22.861935,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0270083,4.07283,4.07283,2.0270083,4.07283,4.07283,2.0270083
CHUP-042,1725.6205,-1024.0,65.0369,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-043,1216.6171,-1024.0,23.670084,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-044,3070.7737,-1024.0,104.64448,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-046,1507.047,-1024.0,48.197475,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-048,1306.5138,-1024.0,75.7325,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-050,981.5419,-1024.0,64.638855,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-053,1098.1663,-1024.0,22.050556,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095
CHUP-054,1280.5386,-1024.0,49.111656,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-055,1153.197,-1024.0,14.443047,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-056,1266.1051,-1024.0,93.76652,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-057,1317.6741,-1024.0,53.377663,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-058,1271.8201,-1024.0,48.405132,0.0,200,200,543,200,200,543,200,200,543,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-059,1451.791,-1024.0,168.92857,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.0270042,4.07283,4.07283,2.0270042,4.07283,4.07283,2.0270042
CHUP-060,920.316,-1024.0,36.98296,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095,4.07283,4.07283,2.0270095
CHUP-061,1129.4226,-1024.0,78.17495,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-065,1181.7452,-1024.0,26.95661,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-066,1129.7554,-1024.0,57.977825,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-067,918.78564,-1024.0,26.3601,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-068,1652.2322,-1024.0,20.897257,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-069,2102.0725,-1024.0,53.690147,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-070,1657.5839,-1024.0,86.96376,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-071,2898.3677,-1024.0,44.422436,0.0,200,200,481,200,200,481,200,200,481,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUP-072,1064.2144,-1024.0,147.30675,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.0269904,4.07283,4.07283,2.0269904,4.07283,4.07283,2.0269904
CHUP-073,1309.0068,-1024.0,82.82058,0.0,200,200,419,200,200,419,200,200,419,4.07283,4.07283,2.027,4.07283,4.07283,2.027,4.07283,4.07283,2.027
CHUS-003,546.9386,-1024.0,30.047808,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0000005,4.0,4.0,4.0000005,4.0,4.0,4.0000005
CHUS-004,864.4001,-1024.0,166.1847,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-005,580.166,-1024.0,100.63704,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-006,624.48065,-1024.0,12.962425,0.0,144,144,213,144,144,213,144,144,213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-009,1092.2319,-1024.0,19.121674,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-010,760.7872,-1024.0,22.7554,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-013,650.1124,-1024.0,231.46452,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-015,736.1185,-1024.0,112.3974,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-016,515.10815,-1024.0,20.192678,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-019,683.5638,-1024.0,1105.2675,0.0,144,144,213,144,144,213,144,144,213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-021,600.65295,-1024.0,53.928947,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-026,785.31024,-1024.0,87.08149,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-027,643.7586,-1024.0,29.190683,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-028,544.22034,-1024.0,16.263887,0.0,144,144,213,144,144,213,144,144,213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-030,2662.257,-1024.0,12.813561,0.0,144,144,254,144,144,254,144,144,254,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-031,596.9248,-1024.0,29.80939,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-033,607.3802,-1024.0,21.655806,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-035,1123.9143,-1024.0,152.1715,0.0,144,144,275,144,144,275,144,144,275,4.0,4.0,3.9999998,4.0,4.0,3.9999998,4.0,4.0,3.9999998
CHUS-036,918.3174,-1024.0,109.743034,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-038,808.454,-1024.0,85.56112,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-039,882.93384,-1024.0,170.59142,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-040,483.77698,-1024.0,14.06143,0.0,144,144,213,144,144,213,144,144,213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-041,1070.2986,-1024.0,49.81036,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-042,680.8229,-1024.0,26.37292,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-043,1012.9693,-1024.0,189.33076,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-045,496.81696,-1024.0,18.79787,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-046,1009.3212,-1024.0,395.15875,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-048,551.5132,-1024.0,10.41846,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-049,682.88434,-1024.0,66.18175,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-051,624.9223,-1024.0,29.085495,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-052,728.7659,-1024.0,56.062428,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-053,624.6378,-1024.0,8.528436,0.0,144,144,213,144,144,213,144,144,213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-055,722.48004,-1024.0,116.488205,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-056,617.34924,-1024.0,26.160847,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-057,715.2542,-1024.0,23.83307,0.0,144,144,255,144,144,255,144,144,255,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHUS-058,666.8101,-1024.0,59.03058,0.0,144,144,234,144,144,234,144,144,234,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
